p_productImg,p_productName,p_price
84d049ef-6c22-455c-be80-5f23a317cfaf.jpg,"Monge (Монже) - Indoor Cat, корм для кошек, живущих дома (развес)",2 500 
81081f04-a37e-4602-9bd1-6f062ccc7bb5.jpg,"ZooМИР - Поводок брезентовый (35) 1,5 м",2 000 
ed4f2f5a-f388-4ef2-9e01-a0bb58440853.jpg,Little One (Литл Ван) - Корм для кроликов 900 г,1 800 
8d4adcdb-08d7-41b4-8479-d12aed619197.jpg,"Ночной охотник - Сухой корм для кошек мясное ассорти, 10 кг",Нет в наличии
cd8398e0-71fb-429e-b4ef-9fe2fe067c26.jpg,Каскад - Ошейник №45 2 слоя не украшенный,5 000 
03984d52-a505-494c-b158-c5fda905a6ac.jpg,Амуниция - Шлейка и поводок для кошек,750 
9ae1e012-eaae-484f-a7bb-81926d121c01.jpg,"Royal Canin (Роял Канин) - Sphynx 33 корм для кошек породы Сфинкс, 10 кг",36 800 
c2db5abc-3627-4606-b299-f6df99724400.jpg,"Royal Canin (Роял Канин) - Medium Adult, корм для собак средних пород (развес)",2 200 
25c9cb9a-c849-46de-911e-09cc35146d5a.jpg,ZooМИР - Поводок брезентовый (25) 7 м,3 000 
6af62a73-f533-454d-9581-8c545d000c8c.jpg,"Мнямс - Лакомство Палочка для кошек лосось и форель, 1 шт",200 
1a368c48-c8cf-4572-981b-c0dfccc98b0c.jpg,"Фармакс - Омега для кошек с биотином и таурином, упаковка 90 таблеток",600 
7ac86dcf-192a-42d2-ae03-373a5b7281d2.jpg,Каскад - Ошейник №20 кожаный с синтепоном,900 
a7c0b04f-07d6-4fea-a38f-cccb5dea6dd5.jpg,Каскад - Ошейник №35 кожаный двойной с украшением,3 506 
bdb8c430-5305-49dd-9d45-01ede70c2217.jpg,"Мнямс - Лакомство Палочка для кошек индейка и ягненок, 3 шт",500 
63a2e3a2-e37d-4ac6-ad0e-1f7022d09db0.jpg,"Гестренол - Таблетки для котов для регуляции половой охоты, упаковка 10 таблеток",1 000 
a33b7a4b-167b-4398-bfbc-9c327dae050b.jpg,Амуниция - Ошейник кожаный №12 клепанный,800 
e26fb86d-841f-47aa-85de-8143ae68e55d.jpg,"Мнямс - Лакомство Палочка для кошек индейка и ягненок, 1 шт",200 
6ff3a7fd-9a9c-4cb7-8def-ba6cc7f8d591.jpg,"Flexi (Флекси) - Рулетка Design ХS 3 м, до 8 кг трос (синий)",5 000 
d5fd7b65-50e7-4a22-b33d-869458ca8535.jpg,Дарэлл - Когтеточка «ЧИП» столбик с мышью (джут),4 500 
7cc5fb99-05df-49ad-b54b-ce59511184da.jpg,Triol (Триол) - Коврик под миску 43x28 см МВ-02,1 200 
edf87324-6ab6-469f-a3fe-0a990bec9e7e.jpg,"Leonardo (Леонардо) - Сухой корм для кошек с курицей, 15 кг",37 000 
87ca70fa-d6a0-4e39-aeba-156d019d63b3.jpg,Каскад - Ошейник №36 2 слоя не украшенный,3 500 
3a63a3f7-db92-4cb0-b5f9-e905a79c86da.jpg,Чистотел - Ошейник домик для кошек 35 см,350 
5652897d-ec45-410d-a7e7-f98f3086ef40.jpg,"Whiskas (Вискас) - Влажный корм для кошек желе с индейкой, пауч 85 г",130 
9f6d8aaa-e627-4c3b-8834-ce3b06e4d272.jpg,"Edel cat (Эдель Кэт) - В соусе утка и кролик 0,1 кг пауч",400 
8fa4fed9-906e-419a-a499-d7947aa7f0f6.jpg,"Royal Canin (Роял Канин) - Indoor 27, корм для кошек, живущих дома, 10 кг",33 600 
29f4dce7-6e8a-406d-9547-a1a7c11258da.jpg,ЗООмир - Корм-лакомство грызунчик-4 овощное ассорти 200 г,800 
bbafc844-b74e-4f45-a349-9014b4c0aa31.jpg,"Гестренол - Капли для котов для регуляции половой охоты, упаковка 1,5 мл",1 300 
533f70d9-1d10-49ae-83b7-0e02fd0babe8.jpg,"Royal Canin (Роял Канин) - Maine Coon, корм для мейн кунов (развес)",4 300 
4ed4e9de-5ae4-4352-8c05-7a9fb76d01d1.jpg,Triol (Триол) - Поилка для грызунов B2-500 ML,2 800 
8f5ca775-c124-4eb4-8d13-05f865214ea6.jpg,"АВЗ - Бриллиантовые Глаза, глазные капли для собак и кошек, флакон 10 мл",1 600 
bc990e64-499b-4ffd-abf3-5c92def9fc1a.jpg,Сибирская кошка - Туалет глубокий с бортиком(2385),1 400 
e265c92e-730c-4ff1-89c8-32e0af696edb.jpg,"Cat Chow (Кет чау) - Adult Duck, корм для кошек с уткой (развес)",1 300 
9d16551d-9b38-4f38-bbe7-10a2b1985eb3.jpg,"Fresh Step (Фреш Степ) - Впитывающий наполнитель, 9,52 кг (18 л)",11 000 
478da397-84af-4430-b4e6-209a92065666.jpg,Лесной - Древесный наполнитель (развес),300 
bb061104-8a99-4802-9d84-eda65e727861.jpg,"Mr.Fresh (Мистер Фреш) - Ликвидатор запаха кошачьих туалетов 2 в 1, порошок, 500 г",1 200 
2ebd58bd-203b-4136-9780-b343eefb56f9.jpg,БАР - Корм для рыб гаммарус измельченный 25г,150 
fdffc068-cbc8-43b9-b8c2-76b494fd3b06.jpg,"Ешка - Кормовая смесь для волнистых попугаев с орехом, 500 г",450 
8ee47d75-6083-4ab4-aa86-75ba569f35b4.jpg,№1 - Поилка для грызунов 500 мл №1 1404,3 000 
47661e05-f1e5-4087-8002-9ecad6344110.jpg,"Sheba (Шеба) - Влажный корм для кошек с курицей и кроликом в соусе, пауч 85 г",185 
0f2c533b-62ba-4010-af1d-e308a1987e66.jpg,"Whiskas (Вискас) - Мини-филе курица желе, пауч 85 г",130 
7c775377-a7b9-4122-8eb3-7d0dd54f05b6.jpg,Сибирская кошка - Наполнитель лесной 7 л,1 300 
9df91563-fef3-454d-b0bc-3242bc1630eb.jpg,Triol (Триол) - Поилка для грызунов B2-250 ML,2 000 
8658c10d-c578-4e78-82bc-4782f00d1cba.jpg,Haoyu (Хаою) - Силикагелевый Наполнитель - Цветные гранулы (развес),Нет в наличии
d8d82c30-f9eb-4029-b54f-86c4f72c7fbd.jpg,"Sima (Сима) - Ролик для чистки одежды, 18х19х6,5 см",1 400 
a85601cd-61d5-4352-abb1-19b8a1576090.jpg,Triol (Триол) - Игрушка «Трекбол» открытый для кошек Р1108-1,4 000 
b546be5e-ab99-484d-a0ce-a96f6a8a1684.jpg,"Edel cat (Эдель Кэт) - Крем-суп со вкумом птица-печень, 1 шт",250 
eae84d79-fd1e-42c8-a657-f545c288bc23.jpg,"Ешка - Корм для всех животных и птиц, пшеница , 500 г",450 
669ad596-c461-4155-8a6d-0251e56a4a66.jpg,"Whiskas (Вискас) - Влажный корм для кошек паштет с уткой, пауч 85 г",130 
b4738a7f-2f18-4775-9a40-26a55424b8b2.jpg,"Sheba (Шеба) - Влажный корм для кошек с курицей и индейкой в соусе, пауч 85 г",185 
c037d6f4-1a7f-4d72-8b72-a46aa95b9b23.jpg,"Triol (Триол) - Мышь сизаль с пером, Игрушка для кошек, 14 см",500 
